CHANNEL	MEAN[Gaus1]	STDDEV[Gaus1]	MEAN[Gaus2-Gaus1]	STDDEV[Gaus2]
0	-1.26161e-12	-3.65641e-13	2.03242e-12	-7.40654e-13
1	-2.71581e-13	3.72542e-13	1.85139e-12	6.93281e-13
2	-5.37582e-13	3.48745e-13	1.48305e-12	8.68132e-13
3	-3.31664e-13	3.73956e-13	1.77644e-12	-6.78384e-13
4	-7.51027e-13	3.48496e-13	1.58361e-12	1e-12
5	7.0408e-13	3.58517e-13	1.92093e-12	7.6641e-13
6	-2.14413e-12	3.64923e-13	2.06561e-12	7.67282e-13
7	-2.6591e-12	3.54047e-13	1.89067e-12	7.97219e-13
8	-1.92738e-12	3.63641e-13	2.06294e-12	-8.11099e-13
9	-1.24958e-12	3.56905e-13	2.12382e-12	-7.05059e-13
10	-4.26679e-13	3.57171e-13	1.81401e-12	-6.99859e-13
11	-1.32658e-12	3.62706e-13	1.98288e-12	-7.17715e-13
12	-2.26993e-13	3.43135e-13	1.89891e-12	8.21682e-13
13	-1.05228e-12	3.60917e-13	1.2343e-12	-9.38187e-13
14	-1.0707e-12	3.49755e-13	1.9573e-12	7.31471e-13
15	7.49774e-13	3.48386e-13	1.98884e-12	-7.88179e-13
